ID_Orcamento;Data;AnoMes;Ano;Mes;ID_Conta;ID_CentroCusto;Valor_Orcado
1;2024-01-01;202401;2024;1;1.01.001;CC4001;18900000.0
2;2024-01-01;202401;2024;1;1.01.002;CC4001;6525000.0
3;2024-01-01;202401;2024;1;1.01.003;CC4001;1710000.0
4;2024-01-01;202401;2024;1;1.02.001;CC4001;540000.0
5;2024-01-01;202401;2024;1;2.01.001;CC3001;550000.0
6;2024-01-01;202401;2024;1;2.02.001;CC4001;320000.0
7;2024-01-01;202401;2024;1;3.01.001;CC1001;10850000.0
8;2024-01-01;202401;2024;1;3.02.001;CC1002;840000.0
9;2024-01-01;202401;2024;1;3.02.001;CC1003;840000.0
10;2024-01-01;202401;2024;1;3.03.001;CC1002;227500.0
11;2024-01-01;202401;2024;1;3.03.001;CC1003;227500.0
12;2024-01-01;202401;2024;1;3.03.001;CC1005;227500.0
13;2024-01-01;202401;2024;1;3.04.001;CC1004;507500.0
14;2024-01-01;202401;2024;1;3.05.001;CC1005;343000.0
15;2024-01-01;202401;2024;1;3.06.001;CC1002;218750.0
16;2024-01-01;202401;2024;1;3.06.001;CC1003;218750.0
17;2024-01-01;202401;2024;1;4.01.001;CC2001;857500.0
18;2024-01-01;202401;2024;1;4.01.002;CC2001;332500.0
19;2024-01-01;202401;2024;1;4.02.001;CC2002;650000.0
20;2024-01-01;202401;2024;1;4.03.001;CC3001;1150000.0
21;2024-01-01;202401;2024;1;4.04.001;CC3002;450000.0
22;2024-01-01;202401;2024;1;4.05.001;CC1001;140000.0
23;2024-01-01;202401;2024;1;4.05.001;CC3001;140000.0
24;2024-01-01;202401;2024;1;4.06.001;CC4001;380000.0
25;2024-01-01;202401;2024;1;5.01.001;CC3001;850000.0
26;2024-01-01;202401;2024;1;5.02.001;CC3001;680000.0
27;2024-01-01;202401;2024;1;5.03.001;CC3001;190000.0
28;2024-01-01;202401;2024;1;6.01.001;CC3001;2100000.0
29;2024-02-01;202402;2024;2;1.01.001;CC4001;23100000.0
30;2024-02-01;202402;2024;2;1.01.002;CC4001;7975000.0
31;2024-02-01;202402;2024;2;1.01.003;CC4001;2090000.0
32;2024-02-01;202402;2024;2;1.02.001;CC4001;660000.0
33;2024-02-01;202402;2024;2;2.01.001;CC3001;550000.0
34;2024-02-01;202402;2024;2;2.02.001;CC4001;320000.0
35;2024-02-01;202402;2024;2;3.01.001;CC1001;17050000.0
36;2024-02-01;202402;2024;2;3.02.001;CC1002;1320000.0
37;2024-02-01;202402;2024;2;3.02.001;CC1003;1320000.0
38;2024-02-01;202402;2024;2;3.03.001;CC1002;357500.0
39;2024-02-01;202402;2024;2;3.03.001;CC1003;357500.0
40;2024-02-01;202402;2024;2;3.03.001;CC1005;357500.0
41;2024-02-01;202402;2024;2;3.04.001;CC1004;797500.0
42;2024-02-01;202402;2024;2;3.05.001;CC1005;539000.0
43;2024-02-01;202402;2024;2;3.06.001;CC1002;343750.0
44;2024-02-01;202402;2024;2;3.06.001;CC1003;343750.0
45;2024-02-01;202402;2024;2;4.01.001;CC2001;1347500.0
46;2024-02-01;202402;2024;2;4.01.002;CC2001;522500.0
47;2024-02-01;202402;2024;2;4.02.001;CC2002;650000.0
48;2024-02-01;202402;2024;2;4.03.001;CC3001;1150000.0
49;2024-02-01;202402;2024;2;4.04.001;CC3002;450000.0
50;2024-02-01;202402;2024;2;4.05.001;CC1001;140000.0
51;2024-02-01;202402;2024;2;4.05.001;CC3001;140000.0
52;2024-02-01;202402;2024;2;4.06.001;CC4001;380000.0
53;2024-02-01;202402;2024;2;5.01.001;CC3001;850000.0
54;2024-02-01;202402;2024;2;5.02.001;CC3001;680000.0
55;2024-02-01;202402;2024;2;5.03.001;CC3001;190000.0
56;2024-02-01;202402;2024;2;6.01.001;CC3001;2100000.0
57;2024-03-01;202403;2024;3;1.01.001;CC4001;29400000.0
58;2024-03-01;202403;2024;3;1.01.002;CC4001;10150000.0
59;2024-03-01;202403;2024;3;1.01.003;CC4001;2660000.0
60;2024-03-01;202403;2024;3;1.02.001;CC4001;840000.0
